,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
1161,RPPNMLNJPHOFFEB08CA,25.0,26.88,停車空間、機械房、水塔、避難室、梯間,鋼筋混凝土造,1983年10月19日,十層,nan
1162,RPPOMLLKPHOFFDB97CA,6.0,389.07,住宅、店舖、騎樓,鋼筋混凝土造,102年1月3日,四層,一層 二層 三層 四層 陽台 騎樓
1163,SPPOMLLKPHOFFDB08CA,6.0,237.47,住宅、店舖、騎樓,鋼筋混凝土造,102年1月3日,四層,一層 二層 三層 四層 陽台 騎樓
1164,RPVOMLTJPHOFFDB66CA,6.0,3529.97,作業廠房、作業廠房附屬空間辦公室、作業廠房（倉庫）、樓梯間、機械室,鋼筋混凝土造、鋼骨造,102年4月11日,三層,一層 二層 三層 雨遮 見其他登記事項
1165,RPRNMLRLOHOFFDB68CA,30.0,34.84,住商用,鋼筋混凝土造,1978年4月28日,五層,五層 陽台
1166,RPRNMLRLOHOFFDB68CA,30.0,4.29,共有部份,鋼筋混凝土造,1978年4月28日,五層,nan
1167,RPRNMLRLOHOFFDB68CA,30.0,34.84,住商用,鋼筋混凝土造,1978年4月28日,五層,五層 陽台
1168,RPRNMLRLOHOFFDB68CA,30.0,4.29,共有部份,鋼筋混凝土造,1978年4月28日,五層,nan
1169,RPWOMLMKPHOFFCB68CA,16.0,103.53,住家用,ＲＣ造,1992年11月4日,十四層,九層 十層 陽台
1170,RPWOMLMKPHOFFCB68CA,16.0,63.05,共用,ＲＣ造,1992年11月4日,十四層,nan
1171,RPQNMLTJPHOFFCB58CA,21.0,78.37,住家用,鋼筋混凝土造,1987年7月21日,五層,一層
1172,RPQNMLTJPHOFFCB58CA,21.0,12.98,共有部份,鋼筋混凝土造,1987年7月21日,五層,nan
1173,RPPNMLTLOHOFFCB58CA,28.0,105.16,住家用,鋼筋混凝土造,1980年11月28日,六層,六層 陽台
1174,RPPNMLTLOHOFFCB58CA,28.0,34.15,共有部份,鋼筋混凝土造,1980年11月28日,六層,nan
1175,RPPNMLTLOHOFFCB58CA,28.0,28.95,停車空間、避難室,鋼筋混凝土造,1980年11月28日,六層,地下層
1176,RPQNMLMKPHOFFAB77CA,28.0,54.91,梯間、機械室、水塔、瞭望台、受電室,鋼筋混凝土造,1980年11月16日,十四層,nan
1177,RPQNMLMKPHOFFAB77CA,28.0,251.92,集合住宅,鋼筋混凝土造,1980年11月16日,十四層,五層 六層 陽台 露台 雨遮
1178,RPQNMLMKPHOFFAB77CA,28.0,33.16,停車空間，避難室,鋼筋混凝土造,1980年11月16日,十四層,地下層
1179,RPPNMLOJPHOFFAB77CA,21.0,156.3,見其他登記事項,鋼筋混凝土造,1987年7月24日,十二層,八層
1180,RPPNMLOJPHOFFAB77CA,21.0,71.27,共有部份,鋼筋混凝土造,1987年7月24日,十二層,nan
1181,RPPNMLOJPHOFFAB77CA,21.0,94.41,共有部份,鋼筋混凝土造,1987年7月24日,十二層,nan
1182,RPPNMLOJPHOFFAB77CA,21.0,190.92,見其他登記事項,鋼筋混凝土造,1987年7月24日,十二層,八層
1183,RPSNMLNJPHOFFAB97CA,36.0,191.23,住商用,鋼筋混凝土造,1972年10月1日,十二層,一層 二層 陽台 騎樓
1184,RPSNMLNJPHOFFAB97CA,36.0,33.33,共有部份,鋼筋混凝土造,1972年10月1日,十二層,nan
1185,RPSNMLNJPHOFFAB97CA,36.0,182.1,商業用,鋼筋混凝土造,1972年10月1日,十二層,地下層
1186,RPSNMLNJPHOFFAB97CA,36.0,30.91,共有部份,鋼筋混凝土造,1972年10月1日,十二層,nan
1187,RPSNMLNJPHOFFAB97CA,36.0,180.3,住商用,鋼筋混凝土造,1972年10月1日,十二層,一層 二層 陽台 騎樓
1188,RPSNMLNJPHOFFAB97CA,36.0,31.49,共有部份,鋼筋混凝土造,1972年10月1日,十二層,nan
1189,RPRPMLOJPHOFFBB28CA,38.0,203.09,住商用,鋼筋混凝土造,1970年1月14日,三層,一層 二層 三層 騎樓 地下層
1190,RPQNMLOLPHOFFJB98CA,27.0,112.86,人行道、店舖、集合住宅,鋼筋混凝土造,1981年9月13日,五層,一層 二層 陽台 騎樓
1191,RPQNMLOLPHOFFJB98CA,27.0,8.3,共有部份,鋼筋混凝土造,1981年9月13日,五層,nan
1192,RPQNMLOLPHOFFJB98CA,27.0,111.3,人行道、店舖、集合住宅,鋼筋混凝土造,1981年9月13日,五層,一層 二層 陽台 騎樓
1193,RPQNMLOLPHOFFJB98CA,27.0,8.3,共有部份,鋼筋混凝土造,1981年9月13日,五層,nan
1194,RPTPMLQLOHOFFIB86CA,40.0,79.1,住家用,鋼筋混凝土造,1968年10月12日,五層,五層
1195,RPPPMLMLPHOFFIB78CA,4.0,116.15,集合住宅,鋼筋混凝土造,104年4月1日,十一層,十一層 陽台 見其他登記事項
1196,RPPPMLMLPHOFFIB78CA,4.0,86.97,停車空間．樓梯間．梯廳．消防機房．蓄水池．汙水機房．無障礙電梯．車道．安全梯．防空避難室兼停車空間．台電配電室．電信室．發電機房．無障礙一般昇降機．門廳．水箱．機械室．甲梯．乙梯．公共服務空間．管委員空間。,鋼筋混凝土造,104年4月1日,十一層,nan
1197,RPRNMLOJPHOFFKB98CA,3.0,92.06,集合住宅,鋼筋混凝土造,104年11月25日,九層,四層 陽台 雨遮
1198,RPRNMLOJPHOFFKB98CA,3.0,77.3,機電空間、停車空間、緊急發電機室兼消防機械室、台電配電室、管委會使用空間、樓梯間、水箱、電梯機械室,鋼筋混凝土造,104年11月25日,九層,nan
1199,RPVNMLMLPHOFFKB76CA,nan,65.13,本共有部分之項目有停車空間、車道、梯廳、水箱、消防機械室、污水機房、安全梯、昇降設備、防空避難室兼停車空間、台電配電室、電錶箱室、管委會使用空間、電信室、外廊、樓梯間、水錶室、機械室等１７項,鋼筋混凝土造,108年3月29日,七層,nan
1200,RPVNMLMLPHOFFKB76CA,nan,68.8,集合住宅,鋼筋混凝土造,108年3月29日,七層,二層 陽台
1201,RPWNMLMLPHOFFKB86CA,nan,68.8,集合住宅,鋼筋混凝土造,108年3月29日,七層,三層 陽台
1202,RPWNMLMLPHOFFKB86CA,nan,33.09,本共有部分之項目有停車空間、車道、梯廳、水箱、消防機械室、污水機房、安全梯、昇降設備、防空避難室兼停車空間、台電配電室、電錶箱室、管委會使用空間、電信室、外廊、樓梯間、水錶室、機械室等１７項,鋼筋混凝土造,108年3月29日,七層,nan
1203,RPXNMLMLPHOFFKB96CA,nan,65.92,集合住宅,鋼筋混凝土造,108年3月29日,七層,六層 陽台
1204,RPXNMLMLPHOFFKB96CA,nan,63.65,本共有部分之項目有停車空間、車道、梯廳、水箱、消防機械室、污水機房、安全梯、昇降設備、防空避難室兼停車空間、台電配電室、電錶箱室、管委會使用空間、電信室、外廊、樓梯間、水錶室、機械室等１７項,鋼筋混凝土造,108年3月29日,七層,nan
1205,RPOOMLMLPHOFFKB78CA,nan,68.8,集合住宅,鋼筋混凝土造,108年3月29日,七層,七層 陽台
1206,RPOOMLMLPHOFFKB78CA,nan,65.13,本共有部分之項目有停車空間、車道、梯廳、水箱、消防機械室、污水機房、安全梯、昇降設備、防空避難室兼停車空間、台電配電室、電錶箱室、管委會使用空間、電信室、外廊、樓梯間、水錶室、機械室等１７項,鋼筋混凝土造,108年3月29日,七層,nan
1207,RPWPMLNLPHOFFAB88DA,40.0,127.86,住家用,鋼筋混凝土造,1968年2月17日,七層,四層
1208,RPUOMLMLPHOFFIB56CA,33.0,109.17,住宅、梯間,加強磚造,1975年10月10日,二層,一層 二層 陽台 屋頂突出物
1209,RPPNMLSJPHOFFJB09CA,5.0,67.67,集合住宅,鋼筋混凝土造,103年2月21日,十四層,三層 陽台 雨遮
1210,RPPNMLSJPHOFFJB09CA,5.0,65.32,停車空間、樓梯間、昇降機間、水箱、污水機房、消防機房、梯廳、排煙室、機械室、防空避難空間兼停車空間、台電配電室、機車停車區、電信室、電錶室、緊急發電機室、門廳、垃圾集中處、外廊、車道、管理室、公共服務空間、水錶箱室、電梯機房、頂蓋型開放空間、梯間,鋼筋混凝土造,103年2月21日,十四層,nan
1211,RPTSMLMKPHOFFBB68CA,49.0,102.63,住家用,鋼筋混凝土加強磚造,1959年10月30日,二層,一層 二層
1212,RPVOMLSLOHOFFBB09CA,24.0,138.67,住商用,鋼筋混凝土造,1984年11月4日,十五層,一層 二層 三層 陽台 平台 花台
1213,RPVOMLSLOHOFFBB09CA,24.0,38.6,共有部份,鋼筋混凝土造,1984年11月4日,十五層,nan
1214,RPXPMLNJPHOFFAB68CA,21.0,94.28,商業用,鋼筋混凝土造,1987年7月31日,十四層,一層 陽台 夾層
1215,RPXPMLNJPHOFFAB68CA,21.0,23.62,共有部份,鋼筋混凝土造,1987年7月31日,十四層,nan
1216,RPOQMLMLPHOFFAB97CA,26.0,2.99,避難室，停車空間，辦公室,鋼筋混凝土造,1981年11月20日,十四層,地下層
1217,RPOQMLMLPHOFFAB97CA,26.0,1.51,共有部份,鋼筋混凝土造,1981年11月20日,十四層,nan
1218,RPOQMLMLPHOFFAB97CA,26.0,33.86,住家用,鋼筋混凝土造,1981年11月20日,十四層,三層 陽台 露台
1219,RPSSMLPLPHOFFCB09CA,12.0,77.99,住家用,鋼筋混凝土造,1995年11月13日,二十八層,十九層 陽台 雨遮
1220,RPSSMLPLPHOFFCB09CA,12.0,66.78,共用,鋼筋混凝土造,1995年11月13日,二十八層,nan
1221,RPQNMLOJPHOFFEB28CA,62.0,19.46,住家用,見其他登記事項,1946年1月15日,一層,一層
1222,RPVNMLQLPHOFFDB09CA,25.0,8.06,住家用,鋼造,1983年2月3日,一層,一層
1223,RPVNMLQLPHOFFDB09CA,25.0,8.06,住家用,鋼造,1983年2月3日,一層,一層
1224,RPVNMLQLPHOFFDB09CA,25.0,8.06,住家用,鋼造,1983年2月3日,一層,一層
1225,RPVNMLQLPHOFFDB09CA,25.0,8.06,住家用,鋼造,1983年2月3日,一層,一層
1226,RPVNMLQLPHOFFDB09CA,25.0,8.06,住家用,鋼造,1983年2月3日,一層,一層
1227,RPTOMLSLOHOFFFB66CA,31.0,134.78,住家用,加強磚造,1977年8月25日,二層,一層 二層 電梯樓梯間
1228,RPQNMLNJPHOFFFB28CA,42.0,77.42,住家用,鋼筋混凝土造,1966年10月26日,三層,一層 騎樓
1229,RPSNMLRLOHOFFFB98CA,39.0,131.63,店舖、梯間、住宅、騎樓,加強磚造,1968年11月30日,二層,一層 二層 騎樓 電梯樓梯間
1230,RPRNMLQKPHOFFFB78CA,40.0,136.66,住家用,加強磚造,1968年7月31日,一層,一層 地下層
1231,RPPNMLSLOHOFFHB98CA,28.0,124.48,住商用,鋼筋混凝土造,1980年4月10日,七層,一層 二層 陽台 平台
1232,RPPNMLSLOHOFFHB98CA,28.0,19.9,停車空間　避難室,鋼筋混凝土造,1980年4月10日,七層,地下層
1233,RPPNMLSLOHOFFHB98CA,28.0,22.81,共有部份,鋼筋混凝土造,1980年4月10日,七層,nan
1234,RPPNMLSLOHOFFHB98CA,28.0,0.0,共有部份,鋼筋混凝土造,1980年4月10日,七層,nan
1235,RPTNMLNLPHOFFHB98CA,30.0,123.53,住家用,鋼筋混凝土造,1978年6月26日,三層,一層 二層 三層 陽台
1236,RPQOMLSJPHOFFFB88CA,1.0,145.57,集合住宅,鋼筋混凝土造,107年6月22日,十五層,二層 陽台
1237,RPQOMLSJPHOFFFB88CA,1.0,101.03,防空避難室兼停車空間、消防機房、發電機機房、台電配電室、管委會空間、昇降機間、電梯機房、水箱,鋼筋混凝土造,107年6月22日,十五層,nan
1238,RPSOMLSJPHOFFFB09CA,1.0,101.98,集合住宅,鋼筋混凝土造,107年6月22日,十五層,十五層 陽台
1239,RPSOMLSJPHOFFFB09CA,1.0,79.59,防空避難室兼停車空間、消防機房、發電機機房、台電配電室、管委會空間、昇降機間、電梯機房、水箱,鋼筋混凝土造,107年6月22日,十五層,nan
1240,RPUNMLTJPHOFFCB98CA,22.0,143.43,住家用,鋼筋混凝土造,1986年9月24日,八層,一層 二層 陽台
1241,RPUNMLTJPHOFFCB98CA,22.0,42.58,共有部份,鋼筋混凝土造,1986年9月24日,八層,nan
1242,RPUNMLTJPHOFFCB98CA,22.0,13.92,共有部份,鋼筋混凝土造,1986年9月24日,八層,nan
1243,RPQNMLSJPHOFFCB48CA,nan,109.8,店舖,鋼筋混凝土造,108年1月16日,十九層,一層 二層 陽台 雨遮
1244,RPQNMLSJPHOFFCB48CA,nan,50.67,本共有部分係依使用執照之建築物概要表記載項目有：停車空間、梯間、揚水泵機房、梯廳兼排煙室、一般昇降機、緊急昇降機、一般安全梯、蓄水池、消防機房、污水處理機房、雨水處理機房、管道間、停車空間兼防空避難室、電信室、緊急發電機室、機房、電錶室暨受電箱、台電配電室、景觀水池機房等１９項。,鋼筋混凝土造,108年1月16日,十九層,nan
1245,RPWNMLSLOHOFFBB09CA,27.0,109.79,住家用,鋼筋混凝土造,1981年9月18日,十四層,三層 陽台
1246,RPWNMLSLOHOFFBB09CA,27.0,12.68,商業用,鋼筋混凝土造,1981年9月18日,十四層,地下一層
1247,RPWNMLSLOHOFFBB09CA,27.0,9.52,共有部份,鋼筋混凝土造,1981年9月18日,十四層,nan
1248,RPQSMLLJPHOFFBB18CA,19.0,58.95,店舖，人行道,鋼筋混凝土造,1989年2月19日,十四層,一層 騎樓
1249,RPQSMLLJPHOFFBB18CA,19.0,11.39,共有部份,鋼筋混凝土造,1989年2月19日,十四層,nan
1250,RPPNMLMJPHOFFBB67CA,25.0,59.01,住家用,鋼筋混凝土造,1983年6月2日,九層,四層 陽台 花台
1251,RPPNMLMJPHOFFBB67CA,25.0,21.52,共有部份,鋼筋混凝土造,1983年6月2日,九層,nan
1252,RPPNMLMJPHOFFBB67CA,25.0,15.62,共有部份,鋼筋混凝土造,1983年6月2日,九層,nan
1253,RPPNMLMJPHOFFBB67CA,25.0,0.0,共有部份,鋼筋混凝土造,1983年6月2日,九層,nan
1254,RPSSMLNJPHOFFBB58CA,21.0,79.28,人行道、店舖、辦公室、集合住宅,鋼筋混凝土造,1987年8月1日,九層,一層 二層 陽台 騎樓
1255,RPSSMLNJPHOFFBB58CA,21.0,23.2,共有部份,鋼筋混凝土造,1987年8月1日,九層,nan
