,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
246,RPQNMLLLPHOFFAO09CA,金雅段,29.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1335,持分移轉,420000
247,RPRNMLLLPHOFFAO56CA,金雅段,2.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1634,持分移轉,410001
248,RPRNMLLLPHOFFAO56CA,金雅段,35.7,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1634,持分移轉,420000
249,RPTNMLLLPHOFFAO76CA,金雅段,1.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,410001
250,RPTNMLLLPHOFFAO76CA,金雅段,23.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,420000
251,RPUNMLLLPHOFFAO86CA,金雅段,1.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,410001
252,RPUNMLLLPHOFFAO86CA,金雅段,23.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,420000
253,RPVNMLLLPHOFFAO96CA,金雅段,1.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1099,持分移轉,410001
254,RPVNMLLLPHOFFAO96CA,金雅段,24.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1099,持分移轉,420000
255,RPWNMLLLPHOFFAO07CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
256,RPWNMLLLPHOFFAO07CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
257,RPXNMLLLPHOFFAO17CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
258,RPXNMLLLPHOFFAO17CA,金雅段,29.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
259,RPOOMLLLPHOFFAO98CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
260,RPOOMLLLPHOFFAO98CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
261,RPQOMLLLPHOFFAO56CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
262,RPQOMLLLPHOFFAO56CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
263,RPROMLLLPHOFFAO66CA,金雅段,2.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1335,持分移轉,410001
264,RPROMLLLPHOFFAO66CA,金雅段,29.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1335,持分移轉,420000
265,RPSOMLLLPHOFFAO76CA,金雅段,2.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1634,持分移轉,410001
266,RPSOMLLLPHOFFAO76CA,金雅段,35.7,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1634,持分移轉,420000
267,RPWTMLTKPHOFFAO38CA,金雅段,1.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1099,持分移轉,410001
268,RPWTMLTKPHOFFAO38CA,金雅段,24.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1099,持分移轉,420000
269,RPOUMLTKPHOFFAO67CA,金雅段,2.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1620,持分移轉,410001
270,RPOUMLTKPHOFFAO67CA,金雅段,35.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1620,持分移轉,420000
271,RPQUMLTKPHOFFAO87CA,金雅段,2.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1629,持分移轉,410001
272,RPQUMLTKPHOFFAO87CA,金雅段,35.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1629,持分移轉,420000
273,RPSUMLTKPHOFFAO08CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
274,RPSUMLTKPHOFFAO08CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
275,RPTOMLSLJIOFFAO27EA,金雅段,2.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1589,持分移轉,410001
276,RPTOMLSLJIOFFAO27EA,金雅段,34.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1589,持分移轉,420000
277,RPUOMLSLJIOFFAO37EA,金雅段,2.9,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1700,持分移轉,410001
278,RPUOMLSLJIOFFAO37EA,金雅段,37.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1700,持分移轉,420000
