,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
915,大安區,房地(土地+建物),臺北市大安區大安路一段４號二樓,9.68,住,nan,nan,1080704,土地1建物1車位0,二層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,680925.0,47.58,1,1,1,有,有,9580000,201345.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPOPMLMLPHOFFFA28CA,34.75,0.0,5.17,nan,nan
916,松山區,房地(土地+建物)+車位,臺北市松山區南京東路五段２９１巷３４弄２號四樓之１,14.93,住,nan,nan,1080711,土地1建物1車位1,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,971124.0,98.56,1,1,1,有,有,12300000,124797.0,升降平面,37.59,0,親友、員工或其他特殊關係間之交易。；,RPOOMLQJQHOFFDA28CA,32.53,2.03,4.94,nan,nan
917,信義區,土地,雅祥段一小段430-1地號,51.0,其他,nan,nan,1080621,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,6910000,135490.0,nan,0.0,0,包含公共設施保留地之交易。；,RPPNMLTJQHOFFDA58CA,0.0,0.0,0.0,nan,nan
918,士林區,房地(土地+建物),臺北市士林區美崙街８６巷２號二樓,26.5,住,nan,nan,1080506,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,740411.0,156.09,4,2,2,有,無,18000000,115318.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLQKQHOFFEA66CA,117.93,1.02,24.77,nan,nan
919,北投區,房地(土地+建物),臺北市北投區榮華三路４２巷７弄１２號,153.0,住,nan,nan,1080517,土地2建物2車位0,全,二層,透天厝,住家用,加強磚造,620208.0,143.49,4,2,3,有,無,35645400,248417.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRQMLKMPHOFFEA48CA,143.49,0.0,0.0,nan,nan
920,士林區,房地(土地+建物)+車位,臺北市士林區士東路286巷1之13號2樓,58.74,住,nan,nan,1080612,土地1建物1車位1,二層，三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770702.0,177.65,3,3,2,有,有,26300000,148044.0,坡道平面,0.0,0,含增建或未登記建物。；,RPPPMLNLPHOFFEA38CA,124.23,1.54,13.82,nan,nan
921,士林區,房地(土地+建物)+車位,臺北市士林區忠誠路一段１６巷１１號六樓,22.79,住,nan,nan,1080706,土地1建物1車位2,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,880120.0,89.21,2,1,1,有,有,17500000,196166.0,升降機械,22.6,0,增建夾層露台使用權本成交資訊係由不動產經紀業提供屬實,RPWOMLNLPHOFFEA98CA,33.84,0.99,3.33,nan,nan
922,南港區,房地(土地+建物),臺北市南港區忠孝東路六段２７８巷２３弄１４號三樓,22.0,住,nan,nan,1080709,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,nan,36.0,3,0,3,有,無,5030222,139728.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSPMLKMPHOFFDA38CA,36.0,0.0,0.0,nan,nan
923,中山區,房地(土地+建物)+車位,臺北市中山區明水路５５５號九樓之１２,23.56,住,nan,nan,1080615,土地1建物1車位1,九層，十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850530.0,121.57,3,2,1,有,有,22300000,183433.0,坡道平面,0.0,0,nan,RPXSMLLMPHOFFCA56CA,61.1,2.84,7.06,nan,nan
924,中山區,房地(土地+建物)+車位,臺北市中山區建國北路三段５５號三樓之３,26.16,住,nan,nan,1080524,土地3建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870909.0,117.79,3,2,2,有,有,15000000,127345.0,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPOSMLKMPHOFFCA18CA,70.49,4.13,6.64,nan,nan
925,文山區,房地(土地+建物),臺北市文山區萬盛街１７３號四樓,36.96,住,nan,nan,1080325,土地3建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,nan,91.85,3,2,1,有,無,10000000,108873.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPUNMLPJQHOFFAA38CA,91.85,0.0,0.0,nan,nan
926,中正區,建物,臺北市中正區水源路77號十五樓,0.0,nan,nan,nan,1080708,土地0建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080415.0,302.03,5,2,3,有,有,18800000,62245.0,升降機械,30.6,0,建商與地主委建案，登錄金額為委建價金，非實際買賣金額。權利人共兩人。,RPXNMLKLQHOFFAA38CA,140.16,18.67,16.23,nan,nan
927,文山區,房地(土地+建物)+車位,臺北市文山區政大二街２６０巷１８號三樓,213.58,住,nan,nan,1080630,土地1建物1車位1,三層，四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,981019.0,446.63,6,3,4,有,有,43800000,99254.0,坡道平面,33.55,2800000,nan,RPXNMLSJQHOFFAA98CA,248.33,12.76,32.98,nan,nan
928,文山區,房地(土地+建物),臺北市文山區興隆路四段４９之４號,17.63,住,nan,nan,1080614,土地2建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,nan,53.02,1,1,1,有,無,13000000,245190.0,nan,0.0,0,含增建或未登記建物。；,RPWOMLPLPHOFFAA78CA,49.24,3.78,0.0,nan,nan
