,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
78,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄７１號五樓之二,22.26,住,nan,nan,1060425,土地1建物1車位1,五層,七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320.0,136.7,2,2,1,有,有,6330000,52323.0,坡道平面,39.61,1250000,土地及建物分次登記案件。前案土地登記收件字號：；,RPQPMLTKOHOFFBJ86CA,58.03,0.0,9.95,nan,nan
79,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄７１號七樓之二,22.26,住,nan,nan,1060410,土地1建物1車位1,七層,七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320.0,136.7,2,2,1,有,有,6580000,54383.0,坡道平面,39.61,1300000,土地及建物分次登記案件。前案土地登記收件字號：；,RPRPMLTKOHOFFBJ96CA,58.03,0.0,9.95,nan,nan
80,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄９１號十二樓之二,27.45,住,nan,nan,1060428,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320.0,164.74,3,2,2,有,有,9800000,68729.0,坡道平面,39.61,1200000,土地及建物分次登記案件。前案土地登記收件字號：；,RPSPMLTKOHOFFBJ07CA,74.12,0.0,9.55,nan,nan
81,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄７１號六樓之三,22.26,住,nan,nan,1060302,土地1建物1車位1,六層,七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320.0,136.7,2,2,1,有,有,7080000,59017.0,坡道平面,39.61,1350000,土地及建物分次登記案件。前案土地登記收件字號：；,RPQQMLTKOHOFFBJ96CA,58.03,0.0,9.95,nan,nan
82,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄７１號七樓之三,22.26,住,nan,nan,1070426,土地1建物1車位1,七層,七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320.0,134.65,2,2,1,有,有,6100000,52008.0,坡道平面,37.55,1050000,土地及建物分次登記案件。前案土地登記收件字號：；,RPSQMLTKOHOFFBJ17CA,58.03,0.0,9.95,nan,nan
83,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄７１號四樓之二,22.26,住,nan,nan,1051031,土地1建物1車位1,四層,七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320.0,136.7,2,2,1,有,有,6700000,56133.0,坡道平面,39.61,1250000,土地及建物分次登記案件。前案土地登記收件字號：；,RPTQMLTKOHOFFBJ27CA,58.03,0.0,9.95,nan,nan
84,竹北市,房地(土地+建物)+車位,新竹縣竹北市文興路二段１０１號２２樓,40.6,商,nan,nan,1080215,土地1建物1車位2,二十二層，二十三層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030924.0,441.11,6,3,5,有,有,32880000,80572.0,坡道平面,67.78,2800000,nan,RPTOMLKMNHOFFBJ88CA,253.33,4.81,25.39,nan,nan
85,湖口鄉,土地,湖新段301地號,677.0,nan,特定農業區,甲種建築用地,1080516,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,15000000,22157.0,nan,0.0,0,本案件部分債務抵償；含未保存登記建物。,RPVOMLTKOHOFFDJ47CA,0.0,0.0,0.0,nan,nan
86,竹東鎮,土地,中正段381地號,14.0,工,nan,nan,1080509,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,554120,39580.0,nan,0.0,0,向政府機關承購之案件。；,RPSNMLLKOHOFFCJ98EA,0.0,0.0,0.0,nan,nan
87,橫山鄉,土地,沙坑壹段516-2地號,18.96,nan,一般農業區,交通用地,1080509,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,71100,3750.0,nan,0.0,0,向政府機關承購之案件。；,RPVNPLTLNHOFFCJ77EA,0.0,0.0,0.0,nan,nan
