,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
345,RPOPMLRKOHOFFBJ09CA,水瀧段,11.23,都市：商,10000,30,持分移轉,15260000
346,RPPPMLRKOHOFFBJ56CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
347,RPQPMLRKOHOFFBJ66CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
348,RPRPMLRKOHOFFBJ76CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
349,RPTPMLRKOHOFFBJ96CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
350,RPUPMLRKOHOFFBJ07CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
351,RPVPMLRKOHOFFBJ17CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
352,RPWPMLRKOHOFFBJ27CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
353,RPXPMLRKOHOFFBJ37CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
354,RPOQMLRKOHOFFBJ56CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
355,RPRNMLPKOHOFFBJ98CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
356,RPSNMLPKOHOFFBJ09CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
357,RPTNMLPKOHOFFBJ56CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
358,RPUNMLPKOHOFFBJ66CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
359,RPVNMLPKOHOFFBJ76CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
360,RPPNMLQKOHOFFBJ88CA,水瀧段,10.48,都市：商,10000,28,持分移轉,15260000
361,RPQNMLQKOHOFFBJ98CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
362,RPRNMLQKOHOFFBJ09CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
363,RPSNMLQKOHOFFBJ56CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
364,RPTNMLQKOHOFFBJ66CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
365,RPUNMLQKOHOFFBJ76CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
