,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
828,RPUQMLLLOHOFFBJ66CA,nan,14.78,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
829,RPVQMLLLOHOFFBJ76CA,nan,66.01,住家用,鋼筋混凝土造,108年4月16日,二十四層,二十一層 陽台
830,RPVQMLLLOHOFFBJ76CA,nan,44.25,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
831,RPVQMLLLOHOFFBJ76CA,nan,14.78,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
832,RPSNMLMLOHOFFBJ88CA,nan,96.41,住家用,鋼筋混凝土造,108年4月16日,二十四層,十三層 陽台
833,RPSNMLMLOHOFFBJ88CA,nan,51.55,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
834,RPSNMLMLOHOFFBJ88CA,nan,21.6,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
835,RPTNMLMLOHOFFBJ98CA,nan,96.41,住家用,鋼筋混凝土造,108年4月16日,二十四層,二十層 陽台
836,RPTNMLMLOHOFFBJ98CA,nan,51.55,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
837,RPTNMLMLOHOFFBJ98CA,nan,21.6,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
838,RPUNMLMLOHOFFBJ09CA,nan,96.41,住家用,鋼筋混凝土造,108年4月16日,二十四層,二十三層 陽台
839,RPUNMLMLOHOFFBJ09CA,nan,51.55,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
840,RPUNMLMLOHOFFBJ09CA,nan,21.6,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
841,RPVNMLPLOHOFFBJ86CA,nan,97.47,住家用,鋼筋混凝土造,108年4月16日,二十四層,十五層 陽台
842,RPVNMLPLOHOFFBJ86CA,nan,51.95,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
843,RPVNMLPLOHOFFBJ86CA,nan,21.86,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
844,RPTPMLKLOHOFFBJ98CA,3.0,76.0,商業用,鋼筋混凝土造,105年6月28日,十四層,一層 見其他登記事項
845,RPTPMLKLOHOFFBJ98CA,3.0,29.57,本共有部分之項目有防空避難室兼停車空間、開放空間、公共服務空間、垃圾集中處、梯間、電梯機房、水箱等七項。,鋼筋混凝土造,105年6月28日,十四層,nan
846,RPTPMLKLOHOFFBJ98CA,3.0,79.35,本共有部分之項目有防空避難室兼停車空間、開放空間、公共服務空間、垃圾集中處、梯間、電梯機房、水箱等七項。,鋼筋混凝土造,105年6月28日,十四層,nan
