,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
862,苓雅區,土地,福河段367地號,5.0,住,nan,nan,1080529,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,729550,145910.0,nan,0.0,0,向政府機關承購之案件。；,RPOPMLTKOHOFFBE88DA,0.0,0.0,0.0,nan,nan
863,前鎮區,土地,仁愛段397-199地號,51.0,商,nan,nan,1080610,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1836000,36000.0,nan,0.0,0,向政府機關承購之案件。；,RPPOMLTKOHOFFCE98DA,0.0,0.0,0.0,nan,nan
864,前鎮區,房地(土地+建物),高雄市前鎮區鎮昌街48號,52.0,住,nan,nan,1080529,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,580325.0,96.44,3,1,2,有,無,2620000,27167.0,nan,0.0,0,受債權債務影響或債務抵償之交易。；,RPWQMLSKOHOFFCE17DA,96.44,0.0,0.0,nan,nan
865,前鎮區,土地,鎮昌段23-145地號,65.1,住,nan,nan,1080604,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1640520,25200.0,nan,0.0,0,向政府機關承購之案件。；,RPQPMLSKOHOFFCE09DA,0.0,0.0,0.0,nan,nan
866,大寮區,土地,後庄段119地號,726.43,其他,nan,nan,1080611,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2135700,2940.0,nan,0.0,0,包含公共設施保留地之交易。；,RPPNMLPKPHOFFLE76CA,0.0,0.0,0.0,nan,nan
867,大寮區,房地(土地+建物),高雄市大寮區大寮路581巷1號,790.0,農,nan,nan,1080525,土地1建物1車位0,一層，二層,二層,店面(店鋪),農舍,鋼造,831215.0,146.88,0,0,0,無,無,24000000,163399.0,nan,0.0,0,含增建或未登記建物。；,RPVNMLMJPHOFFLE96CA,146.88,0.0,0.0,nan,nan
868,大寮區,土地,潮寮北段861地號,858.21,農,nan,nan,1080531,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,5000000,5826.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPOMLTKOHOFFLE17CA,0.0,0.0,0.0,nan,nan
869,大樹區,土地,洲仔段590地號,1102.71,nan,特定農業區,農牧用地,1080304,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1700000,1542.0,nan,0.0,0,畸零地或有合併使用之交易。；農地,RPRPMLSLOHOFFGE96CA,0.0,0.0,0.0,nan,nan
870,岡山區,土地,大仁段2349地號,122.67,住,nan,nan,1080531,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,8400000,68476.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；價金新台幣440萬無價金支付有申報贈與稅,RPUPMLQKPHOFFFE96CA,0.0,0.0,0.0,nan,nan
871,彌陀區,土地,四村段1244地號,196.69,nan,一般農業區,農牧用地,1080516,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1338500,6805.0,nan,0.0,0,有民情風俗因素之交易。；,RPQNMLPJPHOFFFE78CA,0.0,0.0,0.0,nan,nan
