,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
1206,RPUNMLMLPHOFFDE88CA,25.0,246.38,住商用,鋼筋混凝土造,1983年7月21日,九層,一層 二層 陽台 平台
1207,RPUNMLMLPHOFFDE88CA,25.0,101.83,見使用執照,鋼筋混凝土造,1983年7月21日,九層,nan
1208,RPWNMLLKPHOFFEE98CA,24.0,200.88,住家用,鋼筋混凝土造,1983年12月13日,十三層,一層 二層 三層 四層 陽台 平台 露台 花台
1209,RPWOMLLKPHOFFEE09CA,nan,58.07,集合住宅,鋼筋混凝土,108年1月4日,十五層,一層 夾層
1210,RPWOMLLKPHOFFEE09CA,nan,56.95,本共有部分之項目有防空避難室兼停車空間、樓梯間、門廳、管委會使用空間、昇降機間、水箱、機械室，計７項。,鋼筋混凝土,108年1月4日,十五層,nan
1211,RPRPMLOJPHOFFEE88CA,26.0,73.94,住家用,鋼筋混凝土造,1982年3月10日,六層,二層 陽台 電梯樓梯間 花台
1212,RPRPMLOJPHOFFEE88CA,26.0,18.65,住家用,鋼筋混凝土造,1982年3月10日,六層,nan
1213,RPSNMLTKPHOFFFE86CA,14.0,181.72,住家用,鋼筋混凝土造,1994年11月17日,四層,一層 二層 三層 四層 陽台 雨遮
1214,RPUNMLSJPHOFFGE96CA,44.0,76.36,住家用,加強磚造,1964年6月6日,二層,一層 二層
1215,RPPNMLLKPHOFFGE48CA,38.0,57.74,住家用,鋼筋混凝土造,1970年1月24日,五層,五層
1216,RPUOMLSJPHOFFGE07CA,31.0,172.69,店舖．住宅．梯間．防空避難室,鋼筋混凝土造,1977年1月14日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓 地下一層
1217,RPXNMLMKPHOFFGE76CA,1.0,54.39,集合住宅,鋼筋混凝土,107年6月20日,十五層,十二層 陽台
