,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
129,安樂區,房地(土地+建物),基隆市安樂區武聖街５０巷５號,24.0,住,nan,nan,1080612,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,790424.0,103.18,2,1,2,有,無,2500000,24230.0,nan,0.0,0,含增建或未登記建物。；,RPSNMLKKPHOFFCC08CA,87.6,8.2,0.0,nan,nan
130,七堵區,房地(土地+建物),基隆市七堵區永富路77號，77號二樓,49.33,住,nan,nan,1080605,土地1建物2車位0,一層，騎樓,三層,公寓(5樓含以下無電梯),住家用,加強磚造,590702.0,144.8,2,2,1,有,無,13880000,95856.0,nan,0.0,0,含增建或未登記建物。；1樓營業使用2樓住家用,RPWNMLSJPHOFFCC56CA,144.8,0.0,0.0,nan,nan
131,信義區,房地(土地+建物)+車位,基隆市信義區孝東路126之1號二樓,14.53,住,nan,nan,1080428,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018.0,139.97,2,2,1,有,有,7350000,60571.0,坡道平面,35.96,1050000,土地及建物分次登記案件。前案土地登記收件字號：；,RPVNMLSKPHOFFBC09CA,63.12,0.0,7.83,nan,nan
132,信義區,房地(土地+建物)+車位,基隆市信義區孝東路122號二樓,14.53,住,nan,nan,1080316,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018.0,139.14,2,2,1,有,有,7380000,61349.0,坡道平面,35.96,1050000,土地及建物分次登記案件。前案土地登記收件字號：；,RPWNMLSKPHOFFBC56CA,63.12,0.0,7.83,nan,nan
133,信義區,房地(土地+建物)+車位,基隆市信義區孝東路122之3號五樓,19.09,住,nan,nan,1080526,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018.0,174.85,3,2,2,有,有,8700000,55080.0,坡道平面,35.96,1050000,土地及建物分次登記案件。前案土地登記收件字號：；,RPXNMLSKPHOFFBC66CA,83.26,1.09,11.38,nan,nan
134,信義區,房地(土地+建物)+車位,基隆市信義區孝東路132號四樓,30.2,住,nan,nan,1080521,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018.0,242.18,3,2,2,有,有,11400000,50432.0,坡道平面,35.96,1000000,土地及建物分次登記案件。前案土地登記收件字號：；,RPOOMLSKPHOFFBC48CA,133.4,1.15,15.78,nan,nan
135,信義區,房地(土地+建物)+車位,基隆市信義區孝東路136之1號八樓,23.64,住,nan,nan,1080501,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018.0,202.68,3,2,2,有,有,9880000,53263.0,坡道平面,35.96,1000000,土地及建物分次登記案件。前案土地登記收件字號：；,RPPOMLSKPHOFFBC58CA,104.37,1.41,12.69,nan,nan
136,信義區,房地(土地+建物)+車位,基隆市信義區孝東路136之1號九樓,23.64,住,nan,nan,1080525,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018.0,202.68,3,2,2,有,有,9680000,51763.0,坡道平面,35.96,1050000,土地及建物分次登記案件。前案土地登記收件字號：；,RPQOMLSKPHOFFBC68CA,104.37,1.41,12.69,nan,nan
137,信義區,房地(土地+建物)+車位,基隆市信義區孝東路142之1號十一樓,26.78,住,nan,nan,1080413,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018.0,218.16,3,2,2,有,有,11100000,54336.0,坡道平面,35.96,1200000,土地及建物分次登記案件。前案土地登記收件字號：；,RPROMLSKPHOFFBC78CA,119.43,1.16,12.66,nan,nan
138,信義區,房地(土地+建物)+車位,基隆市信義區孝東路146號二樓,26.78,住,nan,nan,1080506,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018.0,217.21,3,2,2,有,有,11380000,56993.0,坡道平面,35.96,1050000,土地及建物分次登記案件。前案土地登記收件字號：；,RPSOMLSKPHOFFBC88CA,119.81,1.16,12.37,nan,nan
